"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires"
"Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.285,0.275,0.295,0.214,0.307,0.315,0.284,0.275,0.271,0.311,0.596,0.051,0.192,0.238,0.27,0.32,0.326
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.322,0.309,0.334,0.224,0.26,0.396,0.489,0.288,0.323,0.35,0.093,0.606,0.266,0.33,0.315,0.303,0.32
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.221,0.272,0.173,0.386,0.253,0.12,0.073,0.25,0.234,0.18,0.141,0.235,0.24,0.234,0.252,0.207,0.2
"Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.032,0.031,0.033,0.041,0.042,0.023,0.012,0.027,0.024,0.046,0.044,0.012,0.025,0.034,0.025,0.032,0.033
"Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.036,0.03,0.041,0.038,0.041,0.032,0.025,0.041,0.038,0.028,0.03,0.028,0.104,0.056,0.027,0.042,0.021
"Otros",0.039,0.037,0.041,0.038,0.039,0.032,0.051,0.034,0.042,0.041,0.041,0.03,0.087,0.04,0.03,0.059,0.039
"En blanco",0.023,0.016,0.029,0.029,0.017,0.023,0.027,0.023,0.029,0.015,0.016,0.015,0.037,0.025,0.031,0.01,0.019
"No sabe",0.042,0.03,0.054,0.03,0.041,0.059,0.039,0.062,0.039,0.029,0.039,0.023,0.049,0.043,0.05,0.027,0.042
