"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Zamora","Galmarini","Cufré","Cernadas","Baumgarten","Centro","Norte","Sur"
"Unión por la Patria",0.351,0.348,0.354,0.261,0.364,0.353,0.407,0.314,0.391,0.335,0.499,0.653,0.062,0.034,0.006,0.381,0.356,0.322
"Juntos por el Cambio",0.256,0.216,0.296,0.174,0.175,0.356,0.377,0.213,0.245,0.314,0.187,0.209,0.642,0.687,0.028,0.23,0.268,0.274
"De los Liberales libertarios",0.229,0.311,0.147,0.388,0.272,0.163,0.066,0.234,0.236,0.214,0.165,0.107,0.277,0.156,0.799,0.213,0.21,0.25
"De la Izquierda",0.04,0.036,0.044,0.053,0.042,0.018,0.056,0.042,0.026,0.055,0.03,0.004,0,0.07,0.075,0.044,0.038,0.038
"Hacemos por nuestro país",0.024,0.031,0.017,0.005,0.043,0.011,0.019,0.052,0.012,0.011,0.008,0,0,0.043,0.067,0.008,0.065,0.021
"En blanco",0.022,0.011,0.034,0.006,0.024,0.032,0.022,0.041,0.018,0.011,0.025,0.009,0.004,0.005,0,0.019,0.03,0.022
"No sabe",0.078,0.047,0.108,0.113,0.08,0.067,0.053,0.104,0.072,0.06,0.086,0.018,0.015,0.005,0.025,0.105,0.033,0.073
