"var","categoria","A Horacio Rodriguez Larreta","A Patricia Bullrich","A Facundo Manes","A Gerardo Morales"
"P11","Alfredo Cornejo por Cambia Mendoza",0.532,0.599,0.506,0.703
"P11","Luis Petri por Cambia Mendoza",0.136,0.221,0.15,0.093
"P11","Omar De Marchi por La Unión Mendocina",0.228,0.083,0.077,0.036
"P11","Omar Parisi por Elegí Mendoza",0.025,0.021,0.072,0
"P11","Guillermo Carmona por Elegí Mendoza",0,0.018,0.035,0
"P11","Nicolás Guillén por Elegí Mendoza",0,0.014,0.022,0
"P11","Alfredo Guevara por Elegí Mendoza",0,0.016,0,0
"P11","Lautaro Giménez por el Frente de Izquierda",0,0,0,0.168
"P11","Victor da Vila por el Frente de Izquierda",0,0,0,0
"P11","No sabe",0.079,0.028,0.138,0
"P14","Alfredo Cornejo a gobernador y Hebe Casado a vicegobernadora por Cambia Mendoza",0.647,0.406,0.594,0.42
"P14","Luis Petri a gobernador y Patricia Giménez a vicegobernadora por Cambia Mendoza",0.136,0.404,0.103,0.077
"P14","Omar De Marchi a gobernador y Daniel Orozco a vicegobernador por “La Unión Mendocina”",0.135,0.103,0.25,0.207
"P14","Omar Parisi a gobernador y Lucas Ilardo a vicegobernador por Elegí Mendoza",0.011,0.021,0.037,0.283
"P14","Guillermo Carmona a gobernador y Liliana Paponet a vicegobernadora por Elegí Mendoza",0,0.014,0,0
"P14","Nicolás Guillén a gobernador y Lorena Martin a vicegobernadora por Elegí Mendoza",0.002,0.011,0.007,0
"P14","Alfredo Guevara a gobernador y Patricia Galván a vicegobernadora por Elegí Mendoza",0.005,0.018,0.009,0
"P14","Lautaro Giménez a gobernador y Noelia Barbeito a vicegobernadora por el Frente de Izquierda",0.041,0.001,0,0
"P14","Victor da Vila a gobernador y Nadya Ortiz Gazzo a vicegobernadora por el Frente de Izquierda",0.019,0.002,0,0.013
"P14","No sabe",0.004,0.02,0,0
"P17","Alfredo Cornejo por Cambia Mendoza con el apoyo de Patricia Bullrich, Horacio Rodríguez Larreta, Mauricio Macri y una parte de la UCR",0.33,0.528,0.496,0.811
"P17","Luis Petri por Cambia Mendoza con el apoyo de Julio Cobos y una parte de la UCR",0.107,0.175,0.04,0.044
"P17","Omar De Marchi por La Unión Mendocina con el apoyo de una parte del PRO y de Javier Milei",0.234,0.102,0.271,0.103
"P17","Omar Parisi por Elegí Mendoza con el apoyo de Anabel Fernández Sagasti y una parte del kirchnerismo",0.005,0.046,0,0
"P17","Guillermo Carmona por Elegí Mendoza con el apoyo de Emir y Omar Félix, y una parte del PJ",0,0.013,0.008,0
"P17","Nicolás Guillén por Elegí Mendoza con el apoyo de la Corriente Clasista y Combativa, y los movimientos sociales",0.038,0.003,0,0.01
"P17","Alfredo Guevara por Elegí Mendoza con el apoyo de una parte del kirchnerismo",0.249,0.114,0.177,0.032
"P17","Lautaro Giménez por el Frente de Izquierda con el apoyo de Nicolás Del Caño, Myriam Bregman, el Partido Socialista de los Trabajadores y el Movimiento Socialista de los Trabajadores",0,0.001,0,0
"P17","Victor da Vila por el Frente de Izquierda con el apoyo de Gabriel Solano, Romina Del Plá y el Partido Obrero",0,0,0,0
"P17","No sabe",0.037,0.018,0.008,0
"P20","Lo votaría",0.652,0.68,0.676,0.955
"P20","Puede que lo vote",0.128,0.187,0.266,0
"P20","Nunca lo votaría",0.196,0.091,0.034,0.045
"P20","No sabe",0.024,0.042,0.024,0
"P21","Lo votaría",0.236,0.351,0.47,0.076
"P21","Puede que lo vote",0.383,0.291,0.177,0.314
"P21","Nunca lo votaría",0.27,0.281,0.201,0.6
"P21","No sabe",0.111,0.077,0.152,0.01
"P22","Lo votaría",0.328,0.138,0.158,0.041
"P22","Puede que lo vote",0.16,0.214,0.406,0.091
"P22","Nunca lo votaría",0.466,0.567,0.396,0.868
"P22","No sabe",0.046,0.081,0.04,0
"P23","Lo votaría",0.066,0.017,0.064,0
"P23","Puede que lo vote",0.147,0.055,0.228,0.078
"P23","Nunca lo votaría",0.693,0.847,0.667,0.894
"P23","No sabe",0.094,0.081,0.041,0.028
"P24","Lo votaría",0.066,0.003,0.106,0
"P24","Puede que lo vote",0.07,0.042,0.147,0.082
"P24","Nunca lo votaría",0.746,0.903,0.677,0.903
"P24","No sabe",0.118,0.052,0.07,0.015
"P25","Lo votaría",0.065,0,0.111,0
"P25","Puede que lo vote",0.004,0.02,0.144,0
"P25","Nunca lo votaría",0.681,0.888,0.531,0.9
"P25","No sabe",0.25,0.092,0.214,0.1
"P26","Lo votaría",0,0,0.263,0
"P26","Puede que lo vote",0,0.016,0.008,0
"P26","Nunca lo votaría",0.81,0.884,0.669,0.905
"P26","No sabe",0.19,0.1,0.06,0.095
"P27","Lo votaría",0,0.005,0.263,0
"P27","Puede que lo vote",0.017,0.005,0.008,0
"P27","Nunca lo votaría",0.768,0.885,0.635,0.905
"P27","No sabe",0.215,0.105,0.094,0.095
"P28","Lo votaría",0,0,0.054,0
"P28","Puede que lo vote",0.094,0.009,0.365,0
"P28","Nunca lo votaría",0.739,0.894,0.487,0.88
"P28","No sabe",0.167,0.097,0.094,0.12
"P29","La votaría",0.22,0.223,0.394,0.442
"P29","Puede que la vote",0.184,0.103,0.06,0.153
"P29","Nunca la votaría",0.385,0.486,0.428,0.385
"P29","No sabe",0.211,0.188,0.118,0.02
"P30","La votaría",0.038,0.162,0.157,0.016
"P30","Puede que la vote",0.216,0.118,0.078,0.187
"P30","Nunca la votaría",0.366,0.509,0.583,0.781
"P30","No sabe",0.38,0.211,0.182,0.016
"P31","Lo votaría",0.114,0.064,0.062,0.039
"P31","Puede que lo vote",0.196,0.13,0.127,0.179
"P31","Nunca lo votaría",0.545,0.647,0.69,0.777
"P31","No sabe",0.145,0.159,0.121,0.005
"P32","Lo votaría",0.006,0.006,0.052,0.01
"P32","Puede que lo vote",0,0.04,0.007,0
"P32","Nunca lo votaría",0.722,0.804,0.79,0.979
"P32","No sabe",0.272,0.15,0.151,0.011
"P33","La votaría",0,0.004,0,0
"P33","Puede que la vote",0.014,0.017,0.058,0
"P33","Nunca la votaría",0.634,0.776,0.73,0.979
"P33","No sabe",0.352,0.203,0.212,0.021
"P34","La votaría",0,0.019,0.194,0
"P34","Puede que la vote",0,0.007,0.09,0
"P34","Nunca la votaría",0.694,0.743,0.453,0.975
"P34","No sabe",0.306,0.231,0.263,0.025
"P35","La votaría",0,0,0,0
"P35","Puede que la vote",0.042,0.009,0.072,0
"P35","Nunca la votaría",0.679,0.732,0.659,0.975
"P35","No sabe",0.279,0.259,0.269,0.025
"P36","La votaría",0.006,0.002,0,0
"P36","Puede que la vote",0.015,0.016,0.04,0
"P36","Nunca la votaría",0.819,0.894,0.843,0.975
"P36","No sabe",0.16,0.088,0.117,0.025
"P37","La votaría",0.017,0,0,0.016
"P37","Puede que la vote",0.01,0.013,0.014,0
"P37","Nunca la votaría",0.716,0.804,0.626,0.818
"P37","No sabe",0.257,0.183,0.36,0.166
"P38","Muy buena",0.34,0.521,0.352,0.61
"P38","Buena",0.362,0.225,0.504,0.039
"P38","Ni buena ni mala",0.119,0.176,0.042,0.172
"P38","Mala",0.049,0.052,0.068,0.167
"P38","Muy mala",0.13,0.025,0,0.012
"P38","No sabe",0,0.001,0.034,0
"P39","Muy buena",0.223,0.409,0.409,0.06
"P39","Buena",0.325,0.317,0.281,0.247
"P39","Ni buena ni mala",0.3,0.177,0.228,0.519
"P39","Mala",0.084,0.031,0.067,0
"P39","Muy mala",0,0.025,0,0.174
"P39","No sabe",0.068,0.041,0.015,0
"P40","Muy buena",0.213,0.152,0.126,0.044
"P40","Buena",0.182,0.232,0.201,0
"P40","Ni buena ni mala",0.347,0.288,0.28,0.376
"P40","Mala",0.133,0.192,0.117,0.187
"P40","Muy mala",0.118,0.106,0.276,0.393
"P40","No sabe",0.007,0.03,0,0
"P41","Muy buena",0,0.011,0.032,0.026
"P41","Buena",0.044,0.027,0.131,0
"P41","Ni buena ni mala",0.292,0.348,0.19,0.197
"P41","Mala",0.256,0.228,0.329,0.375
"P41","Muy mala",0.164,0.257,0.218,0.253
"P41","No sabe",0.244,0.129,0.1,0.149
"P42","Muy buena",0,0,0,0.009
"P42","Buena",0,0.028,0.164,0
"P42","Ni buena ni mala",0.224,0.259,0.226,0.237
"P42","Mala",0.298,0.308,0.298,0.249
"P42","Muy mala",0.253,0.326,0.202,0.3
"P42","No sabe",0.225,0.079,0.11,0.205
"P43","Muy buena",0,0.003,0,0.011
"P43","Buena",0,0.013,0,0
"P43","Ni buena ni mala",0.259,0.294,0.533,0.28
"P43","Mala",0.24,0.203,0.027,0.045
"P43","Muy mala",0.12,0.213,0.148,0.371
"P43","No sabe",0.381,0.274,0.292,0.293
"P44","Muy buena",0,0.001,0,0.012
"P44","Buena",0.028,0.005,0,0
"P44","Ni buena ni mala",0.339,0.261,0.566,0.28
"P44","Mala",0.162,0.193,0.066,0.056
"P44","Muy mala",0.142,0.286,0.206,0.368
"P44","No sabe",0.329,0.254,0.162,0.284
"P45","Muy buena",0,0,0,0.012
"P45","Buena",0.008,0.017,0.023,0
"P45","Ni buena ni mala",0.348,0.258,0.337,0.28
"P45","Mala",0.087,0.231,0.173,0.057
"P45","Muy mala",0.139,0.232,0.146,0.358
"P45","No sabe",0.418,0.262,0.321,0.293
"P46","Muy buena",0,0.013,0,0.012
"P46","Buena",0.009,0.019,0.013,0
"P46","Ni buena ni mala",0.393,0.252,0.447,0.28
"P46","Mala",0.091,0.159,0.065,0.056
"P46","Muy mala",0.049,0.204,0.166,0.359
"P46","No sabe",0.458,0.353,0.309,0.293
"P47","Muy buena",0.116,0.157,0.058,0.368
"P47","Buena",0.159,0.146,0.137,0.017
"P47","Ni buena ni mala",0.254,0.324,0.253,0.28
"P47","Mala",0.078,0.128,0.013,0.039
"P47","Muy mala",0.047,0.045,0.127,0.287
"P47","No sabe",0.346,0.2,0.412,0.009
"P48","Muy buena",0.014,0.072,0.15,0.012
"P48","Buena",0.122,0.102,0.065,0.083
"P48","Ni buena ni mala",0.41,0.317,0.2,0.288
"P48","Mala",0.101,0.145,0.039,0.047
"P48","Muy mala",0.029,0.107,0.035,0.278
"P48","No sabe",0.324,0.257,0.511,0.292
"P49","Muy buena",0.086,0.069,0.163,0.033
"P49","Buena",0.078,0.076,0.28,0.301
"P49","Ni buena ni mala",0.413,0.278,0.137,0.268
"P49","Mala",0.169,0.208,0.201,0.034
"P49","Muy mala",0.171,0.196,0.039,0.356
"P49","No sabe",0.083,0.173,0.18,0.008
"P50","Muy buena",0,0.012,0,0.011
"P50","Buena",0.007,0.032,0,0
"P50","Ni buena ni mala",0.313,0.226,0.341,0.268
"P50","Mala",0.291,0.232,0.08,0.058
"P50","Muy mala",0.153,0.309,0.338,0.646
"P50","No sabe",0.236,0.189,0.241,0.017
"P51","Muy buena",0,0,0,0.011
"P51","Buena",0.003,0.036,0.047,0
"P51","Ni buena ni mala",0.453,0.279,0.254,0.292
"P51","Mala",0.166,0.215,0.09,0.045
"P51","Muy mala",0.09,0.166,0.23,0.35
"P51","No sabe",0.288,0.304,0.379,0.302
"P52","Muy buena",0,0.024,0,0.037
"P52","Buena",0,0.005,0,0
"P52","Ni buena ni mala",0.264,0.303,0.292,0.032
"P52","Mala",0.256,0.179,0.052,0.035
"P52","Muy mala",0.07,0.147,0.138,0.479
"P52","No sabe",0.41,0.342,0.518,0.417
"P53","Muy buena",0,0,0,0.015
"P53","Buena",0,0.033,0,0
"P53","Ni buena ni mala",0.355,0.306,0.352,0.032
"P53","Mala",0.174,0.163,0.052,0.058
"P53","Muy mala",0.044,0.146,0.138,0.478
"P53","No sabe",0.427,0.352,0.458,0.417
"P54","Muy buena",0,0.005,0,0.015
"P54","Buena",0.009,0.035,0.024,0
"P54","Ni buena ni mala",0.284,0.176,0.205,0.384
"P54","Mala",0.254,0.284,0.505,0.076
"P54","Muy mala",0.439,0.331,0.179,0.525
"P54","No sabe",0.014,0.169,0.087,0
"P55","Muy buena",0,0.004,0,0.015
"P55","Buena",0.006,0,0,0
"P55","Ni buena ni mala",0.417,0.277,0.236,0.032
"P55","Mala",0.078,0.161,0.265,0.035
"P55","Muy mala",0.049,0.191,0.136,0.525
"P55","No sabe",0.45,0.367,0.363,0.393
"P56","Si",0.551,0.581,0.493,0.242
"P56","No",0.449,0.419,0.507,0.758
