"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P06","Mucho",0.547,0.442,0.442,0.332
"P06","Bastante",0.279,0.302,0.287,0.28
"P06","Poco",0.142,0.203,0.187,0.241
"P06","Nada",0.021,0.034,0.076,0.109
"P06","No sabe",0.011,0.019,0.008,0.038
"P07","Siempre",0.312,0.232,0.241,0.209
"P07","Casi siempre",0.397,0.389,0.432,0.381
"P07","Casi nunca",0.227,0.271,0.229,0.279
"P07","Nunca, pero esta es una excepción",0.064,0.108,0.098,0.131
"P08","Tiene Decidido que va a ir a votar",0.906,0.91,0.848,0.783
"P08","Tiene dudas sobre si va a ir a  votar",0.058,0.062,0.071,0.115
"P08","Tiene Decidido que no va a ir a votar",0.036,0.028,0.081,0.102
"P11","Unión por la Patria",0.784,0.044,0.116,0.046
"P11","Juntos por el Cambio",0.084,0.254,0.602,0.42
"P11","Liberales",0.032,0.574,0.069,0.071
"P11","Izquierda",0.029,0.014,0.073,0.031
"P11","Otro",0.021,0.067,0.071,0.105
"P11","No sabe",0.05,0.047,0.069,0.327
"P12","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.831,0.022,0.118,0.047
"P12","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.071,0.265,0.608,0.441
"P12","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.035,0.667,0.053,0.08
"P12","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.026,0.012,0.053,0.03
"P12","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.013,0.011,0.049,0.069
"P12","Otros",0.005,0.006,0.026,0.095
"P12","En blanco",0.005,0.005,0.07,0.023
"P12","No sabe",0.014,0.012,0.023,0.215
"P15","Totalmente seguro",0.736,0.708,0.719,0.463
"P15","Bastante seguro",0.127,0.173,0.11,0.137
"P15","Algo seguro",0.093,0.084,0.095,0.132
"P15","Para nada seguro",0.044,0.035,0.076,0.268
"P24","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.637,0.059,0.111,0.059
"P24","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.092,0.355,0.482,0.372
"P24","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.053,0.455,0.074,0.104
"P24","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.102,0.013,0.096,0.051
"P24","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.024,0.028,0.034,0.084
"P24","Otros",0.026,0.029,0.037,0.094
"P24","En blanco",0.041,0.037,0.148,0.038
"P24","No sabe",0.025,0.024,0.018,0.198
"P31","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.908,0.049,0.109,0.04
"P31","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.055,0.64,0.583,0.438
"P31","En blanco",0.026,0.181,0.265,0.057
"P31","No sabe",0.011,0.13,0.043,0.465
"P32","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.228,0.284,0.583,0.443
"P32","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.055,0.681,0.081,0.073
"P32","En blanco",0.502,0.019,0.28,0.024
"P32","No sabe",0.215,0.016,0.056,0.46
"P35","Lo votaría",0.85,0.052,0.105,0.048
"P35","Puede que lo vote",0.082,0.115,0.081,0.149
"P35","Nunca lo votaría",0.055,0.798,0.774,0.515
"P35","No sabe",0.013,0.035,0.04,0.288
"P36","Lo votaría",0.114,0.368,0.595,0.441
"P36","Puede que lo vote",0.127,0.273,0.067,0.104
"P36","Nunca lo votaría",0.715,0.318,0.3,0.205
"P36","No sabe",0.044,0.041,0.038,0.25
"P37","Lo votaría",0.042,0.663,0.106,0.12
"P37","Puede que lo vote",0.099,0.233,0.118,0.118
"P37","Nunca lo votaría",0.843,0.081,0.738,0.472
"P37","No sabe",0.016,0.023,0.038,0.29
"P38","Lo votaría",0.133,0.057,0.057,0.062
"P38","Puede que lo vote",0.333,0.085,0.097,0.059
"P38","Nunca lo votaría",0.456,0.807,0.816,0.611
"P38","No sabe",0.078,0.051,0.03,0.268
"P39","Lo votaría",0.093,0.071,0.089,0.075
"P39","Puede que lo vote",0.25,0.186,0.165,0.126
"P39","Nunca lo votaría",0.58,0.693,0.695,0.542
"P39","No sabe",0.077,0.05,0.051,0.257
"P52","Si",0.509,0.45,0.446,0.384
"P52","No",0.491,0.55,0.554,0.616
"PRESIDENTE","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.826,0.022,0.119,0.048
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.07,0.27,0.6,0.458
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.039,0.66,0.07,0.096
"PRESIDENTE","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.027,0.011,0.048,0.036
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.016,0.016,0.047,0.072
"PRESIDENTE","Otros",0.007,0.005,0.024,0.076
"PRESIDENTE","En blanco",0.005,0.006,0.07,0.039
"PRESIDENTE","No sabe",0.01,0.01,0.022,0.175
