"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Fernandez","Macri","Lavagna","FdT","Santilli","Manes","Randazzo","Del Caño","Espert","Hotton","Otros","Blanco","No fue a votar"
"A Segundo cernadas por Juntos",0.401,0.384,0.417,0.326,0.39,0.422,0.524,0.441,0.33,0.464,0.495,0.33,0.332,0.216,0.806,0.343,0.114,0.759,0.872,0.177,0.013,0.239,0.034,0.169,0.301,0.437
"A Gisela Zamora por el frente de todos",0.361,0.338,0.383,0.282,0.38,0.396,0.377,0.335,0.405,0.323,0.323,0.37,0.399,0.591,0.094,0.079,0.782,0.161,0.037,0.221,0.18,0,0,0.393,0.033,0.234
"A Juan José Cervetto por avanza libertad",0.061,0.093,0.032,0.108,0.057,0.06,0,0.049,0.07,0.063,0.058,0.117,0.039,0.052,0.031,0.27,0.002,0.038,0.046,0.379,0.217,0.697,0,0.08,0,0.088
"A Paula Yamila Akerfeld por el Frente de Izquierda",0.066,0.079,0.052,0.162,0.051,0.019,0.025,0.096,0.063,0.032,0.071,0.028,0.077,0.052,0.008,0.228,0.051,0.035,0.03,0,0.514,0,0,0,0.204,0.108
"A Matias Orfo por Vamos con vos",0.02,0.005,0.034,0.044,0.013,0.008,0.022,0.008,0.021,0.033,0.011,0.018,0.031,0.016,0.029,0.024,0.013,0.003,0,0.163,0.064,0.026,0,0.019,0,0.033
"A Nicolás Viera Dutra por el Partido Unión Celeste y Blanco",0.033,0.052,0.016,0,0.054,0.039,0.015,0.049,0.016,0.043,0.007,0.065,0.047,0.034,0.019,0,0.009,0,0,0.06,0.012,0.038,0.875,0.163,0,0.009
"En blanco o anularía",0.058,0.049,0.066,0.078,0.055,0.056,0.037,0.022,0.095,0.042,0.035,0.072,0.075,0.039,0.013,0.056,0.029,0.004,0.015,0,0,0,0.091,0.176,0.462,0.091
